,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
0,155.5,152.42999268,146.94000244,156.28999329,160.94000244,169.47999573,161.69000244,171.55000305,159.25,179.57000732,193.46000671,207.71000671,214.08999634,213.82000732,209.05999756,185.22000122,157.46000671,183.88999939,202.16999817,213.61000061,209.78999329,192.25,210.74000549,227.33999634,231.69999695,205.02000427,194.92999268,195.27000427,207.00999451,208.96000671,211.02000427,206.53999329,200.19999695,200.19999695,199.61000061,205.05000305,189.11000061,181.03999329,170.02000427,167.5,167.0,165.32000732,161.61000061,159.41000366,157.11000061,155.77000427,156.41000366,157.08999634,159.58999634,166.67999268,166.32000732,160.0,158.0,158.0,159.08999634,162.77000427,167.67999268,169.13000488,161.92999268,161.16000366,164.83999634,157.53999329,154.57000732,161.27000427,165.88999939,169.88999939,169.91000366,162.36999512,167.88999939,168.13000488,160.13000488,156.61000061,160.08999634,153.05999756,149.11000061,145.11000061,142.82000732,142.0,141.0,144.63999939,159.72999573,169.5,170.0,161.25,152.72999573,147.72999573,142.22999573,134.63000488,139.17999268,139.33999634,132.13000488,130.58999634,131.77000427,138.57000732,149.19999695,156.44000244,163.38999939,166.08999634,168.80000305,165.13000488,159.30000305,163.88999939,159.49000549,148.25999451,157.22999573,156.25,161.5,159.96000671,163.46000671,171.97999573,181.36999512,184.11000061,181.22999573,178.32000732,174.72999573,170.82000732,172.91000366
1,135.69999695,136.67999268,140.0,146.36999512,152.67999268,149.82000732,152.32000732,157.41000366,152.61999512,173.94999695,179.19000244,203.36999512,204.94999695,192.30000305,189.69000244,166.72000122,176.41000366,195.00999451,210.21000671,221.80000305,218.22999573,207.19999695,198.61999512,223.69000244,245.47000122,215.19999695,197.41000366,201.13999939,221.21000671,226.88000488,216.94999695,208.53999329,200.72999573,194.94999695,189.11000061,187.5,188.80000305,182.42999268,175.17999268,170.08999634,170.5,169.22999573,163.72999573,161.0,158.82000732,157.91000366,158.0,158.17999268,179.30999756,168.36999512,170.0,162.94999695,159.19999695,159.5,159.80000305,163.77000427,167.97999573,171.61000061,168.22999573,165.5,165.22999573,160.41000366,154.72999573,152.97999573,157.38999939,160.96000671,165.53999329,160.11000061,157.30000305,161.30000305,151.44999695,154.72999573,160.38999939,151.13000488,145.82000732,148.5,146.58999634,143.38999939,147.07000732,149.38999939,156.96000671,168.36999512,169.69999695,169.47000122,159.63000488,150.44999695,140.13000488,134.41000366,137.77000427,141.0,138.63000488,132.22999573,129.75,131.96000671,138.30000305,139.41000366,141.67999268,140.47999573,149.72999573,154.25,153.27000427,151.38999939,146.08999634,142.88999939,142.0,141.86999512,147.58999634,149.27000427,157.57000732,164.27000427,171.94000244,182.07000732,181.41000366,179.08999634,177.61000061,174.22999573,166.88000488
2,128.47999573,137.83999634,146.13999939,151.97999573,156.02000427,152.25,139.0,139.88999939,147.46000671,160.02999878,184.58999634,180.22999573,180.82000732,167.67999268,176.08000183,159.94000244,192.38999939,201.80000305,208.94000244,223.94000244,232.47999573,229.86000061,200.30000305,216.71000671,225.97000122,208.25,204.41000366,208.22999573,227.13999939,228.72999573,220.33999634,213.22999573,208.25,199.94999695,190.11000061,188.32000732,184.03999329,180.41000366,178.94999695,173.41000366,172.41000366,170.22999573,164.33999634,160.0,159.58999634,160.30000305,161.58999634,160.88999939,167.0,166.27000427,167.5,165.32000732,162.91000366,162.5,163.67999268,166.08999634,168.97999573,170.19999695,167.82000732,164.82000732,163.0,160.82000732,157.22999573,153.32000732,151.08999634,152.38999939,156.77000427,157.92999268,152.61000061,150.30000305,149.11000061,149.32000732,147.5,147.0,148.27000427,151.38999939,147.17999268,149.16000366,162.55000305,168.44999695,159.91000366,162.77000427,163.11000061,159.69999695,157.25,148.03999329,139.22999573,135.08999634,140.07000732,148.08999634,142.03999329,136.92999268,132.41000366,128.58999634,132.08999634,128.69999695,130.88999939,128.5,131.96000671,139.96000671,142.25,148.86999512,140.25,135.88999939,137.58999634,138.0,142.1000061,148.57000732,154.61999512,165.05000305,174.94000244,183.30000305,180.61000061,178.30000305,179.11000061,176.69999695,174.86999512
3,138.55000305,143.30000305,146.86999512,153.75,161.75,155.33999634,140.80999756,137.05000305,139.97999573,151.41000366,160.13000488,156.88999939,163.94000244,153.47000122,156.6000061,172.38999939,185.08999634,199.8500061,222.08999634,230.52999878,243.05000305,226.1000061,201.33999634,208.07000732,215.94000244,221.17999268,215.57000732,225.61999512,240.72999573,234.16000366,227.13000488,223.11000061,216.86000061,206.44999695,199.83999634,193.22999573,185.94999695,178.11000061,174.72999573,170.19999695,169.5,170.0,166.72999573,161.82000732,163.77000427,165.17999268,169.0,169.58999634,169.41000366,169.38999939,169.61000061,167.19999695,166.5,166.82000732,165.5,165.5,167.33999634,169.03999329,164.19999695,162.41000366,161.19999695,160.19999695,158.02000427,154.32000732,151.82000732,150.11000061,149.30000305,150.11000061,149.0,148.0,147.91000366,147.5,148.30000305,149.5,150.36999512,157.07000732,154.78999329,148.82000732,159.86999512,164.5,163.19999695,161.41000366,157.03999329,152.91000366,151.32000732,145.33999634,138.22999573,137.25,144.96000671,151.17999268,147.25,138.63000488,133.41000366,128.75,129.19999695,126.01999664,125.0,124.30000305,126.68000031,130.75,138.77000427,138.61000061,136.44999695,134.75,140.47999573,138.69999695,140.46000671,148.55000305,156.83999634,169.25,180.46000671,187.52000427,181.22999573,178.91000366,178.38999939,176.82000732,174.5
4,138.27000427,139.27000427,139.96000671,149.36999512,154.32000732,144.47000122,132.36000061,129.30000305,129.5,133.25,138.47999573,138.80000305,146.50999451,153.11999512,176.88999939,195.69000244,210.82000732,218.88999939,220.57000732,241.38999939,245.49000549,213.17999268,206.30000305,210.52999878,222.36999512,229.36999512,231.75,245.97999573,250.03999329,238.44999695,229.33999634,222.52000427,214.67999268,201.25,195.22999573,190.69999695,186.94999695,179.63000488,174.22999573,171.02000427,168.41000366,168.5,167.69999695,166.19999695,168.57000732,169.5,170.17999268,173.0,171.72999573,171.17999268,170.91000366,170.91000366,171.11000061,169.91000366,167.22999573,164.11000061,163.5,162.13000488,160.0,160.0,159.69999695,158.91000366,156.41000366,153.82000732,150.69999695,151.0,150.82000732,149.52000427,148.0,148.67999268,154.36999512,158.66000366,149.19999695,153.13999939,159.5,161.07000732,163.82000732,154.86000061,148.02999878,159.77000427,162.5,160.16000366,149.22999573,147.41000366,144.72999573,139.5,137.17999268,138.17999268,142.46000671,149.57000732,150.42999268,141.94999695,133.53999329,128.22999573,128.57000732,129.80000305,129.52000427,125.11000061,124.18000031,128.57000732,131.61000061,129.69999695,127.68000031,132.52999878,139.52000427,138.17999268,144.25,152.46000671,160.94000244,176.16999817,191.86999512,190.82000732,185.42999268,180.22999573,177.82000732,173.02000427,170.52000427
5,132.11000061,126.23000336,128.41000366,140.86999512,138.94999695,132.86000061,120.98000336,124.98000336,128.86999512,136.96000671,144.46000671,156.61999512,173.97999573,158.80000305,188.57000732,202.21000671,218.75999451,236.47999573,235.33999634,230.33999634,221.25,209.52000427,208.58999634,214.07000732,218.17999268,226.41000366,250.30000305,252.0,246.94999695,237.44999695,227.27000427,217.13000488,211.19999695,203.66000366,192.75,187.32000732,181.92999268,177.33999634,172.0,172.02000427,169.0,169.0,168.91000366,168.19999695,169.58999634,172.80000305,173.58999634,174.0,174.0,173.41000366,173.58999634,173.5,171.91000366,170.0,166.92999268,162.61000061,161.19999695,160.0,159.0,159.0,158.0,157.91000366,156.61000061,153.52000427,149.41000366,149.5,149.38999939,149.61000061,149.30000305,151.63999939,161.75,160.03999329,149.82000732,153.02999878,162.16000366,169.30000305,170.69999695,165.17999268,151.86000061,149.47999573,155.38999939,152.63000488,148.61000061,146.02000427,142.82000732,140.11000061,142.86999512,141.02000427,139.38999939,145.25,150.42999268,140.03999329,132.75,128.5,130.67999268,132.25,130.41000366,127.51999664,123.81999969,123.30000305,124.19999695,123.5,124.68000031,128.17999268,138.66000366,142.57000732,149.27000427,156.05000305,169.6000061,180.52000427,181.22999573,191.41000366,187.53999329,178.72999573,173.53999329,166.72999573,160.11000061
6,118.5,118.23000336,120.20999908,129.57000732,125.81999969,116.51999664,118.16000366,124.16000366,132.52999878,141.72999573,153.05000305,155.22999573,180.66999817,199.30999756,174.05000305,197.55000305,228.1000061,243.07000732,250.55999756,224.36000061,216.92999268,210.96000671,218.17999268,220.5,221.67999268,226.63999939,236.80000305,244.11000061,243.19999695,234.67999268,223.66000366,213.27000427,205.16000366,200.42999268,193.03999329,186.82000732,180.92999268,177.52000427,173.82000732,172.69999695,172.0,172.41000366,171.69999695,169.61000061,169.88999939,173.38999939,175.0,174.0,173.41000366,172.5,171.32000732,170.32000732,168.41000366,165.72999573,160.61000061,160.0,160.0,160.0,159.0,158.19999695,158.08999634,158.0,158.5,158.72999573,153.72999573,151.5,150.61000061,149.0,153.36999512,156.80000305,158.41000366,157.5,157.5,157.46000671,160.55000305,170.88999939,169.61000061,160.53999329,151.63000488,148.0,149.0,153.41000366,150.19999695,147.61000061,145.91000366,147.17999268,153.07000732,149.13000488,143.42999268,144.0,143.22999573,139.19999695,136.82000732,134.67999268,138.0,136.32000732,133.32000732,130.61000061,129.82000732,125.61000061,124.18000031,123.61000061,120.80000305,123.66000366,136.21000671,147.96000671,155.05000305,163.58999634,172.13999939,170.66000366,181.50999451,191.58999634,191.02000427,181.03999329,175.63000488,170.63000488,160.02000427
7,108.58999634,109.41000366,120.83999634,116.11000061,115.5,116.0,122.38999939,129.69999695,140.83999634,150.66000366,160.52999878,176.82000732,174.94999695,178.33999634,191.24000549,184.75,189.96000671,211.61999512,230.53999329,218.75,217.42999268,217.16000366,222.08999634,223.0,222.69999695,221.02000427,225.30000305,239.53999329,236.58999634,232.92999268,226.53999329,219.86000061,207.38000488,197.02000427,190.42999268,188.41000366,185.97999573,189.30999756,176.52000427,174.61000061,172.19999695,172.0,172.0,172.0,172.80000305,176.67999268,178.83999634,173.22999573,169.5,169.0,168.41000366,166.91000366,164.61000061,161.82000732,159.82000732,159.0,159.0,159.0,158.0,158.0,160.08999634,161.5,161.41000366,160.19999695,157.82000732,155.41000366,152.02000427,150.25,158.86999512,160.91000366,162.36999512,164.41000366,163.32000732,159.82000732,161.66000366,169.32000732,162.83999634,158.32000732,154.32000732,150.69999695,150.88999939,153.77000427,152.61000061,150.30000305,148.58999634,154.33999634,160.19999695,152.03999329,146.61000061,145.0,142.63000488,139.19999695,140.97999573,147.38999939,150.91000366,144.03999329,138.11000061,139.5,140.58999634,140.58999634,135.92999268,129.96000671,126.94999695,120.0,132.97999573,151.47999573,158.96000671,170.05000305,169.67999268,160.57000732,171.13999939,177.80000305,184.91000366,188.55999756,178.94999695,167.27000427,157.42999268
8,107.01999664,116.41000366,116.48999786,108.68000031,111.45999908,120.37000275,137.32000732,139.80000305,138.97999573,150.80000305,169.11999512,185.6000061,210.80000305,204.21000671,190.44000244,226.63999939,234.57000732,220.83000183,207.80999756,203.66999817,214.47999573,221.97999573,221.91000366,220.58999634,219.0,217.38999939,227.72999573,231.02000427,226.0,225.02000427,220.5,218.36000061,209.16000366,201.0,197.94999695,188.72999573,185.41000366,184.28999329,179.13000488,179.42999268,174.32000732,172.82000732,172.0,172.0,172.27000427,179.69999695,178.19999695,178.36000061,170.61000061,169.5,167.82000732,165.82000732,163.41000366,160.82000732,158.61000061,156.82000732,157.0,157.80000305,158.08999634,159.38999939,161.0,162.17999268,161.61000061,160.0,158.82000732,156.19999695,152.44999695,152.16000366,159.30000305,163.77000427,168.27000427,170.08999634,169.82000732,167.22999573,164.41000366,164.42999268,160.19999695,158.91000366,156.82000732,154.41000366,154.58999634,157.86999512,157.82000732,156.77000427,156.03999329,159.38999939,161.03999329,152.53999329,147.69999695,150.36999512,149.5,146.58999634,150.38999939,157.46000671,159.03999329,147.80999756,143.21000671,155.32000732,151.57000732,153.82000732,144.78999329,130.47999573,125.69999695,119.30000305,131.13999939,143.32000732,152.33999634,166.00999451,177.3999939,159.27000427,161.08999634,169.44000244,182.07000732,183.72999573,180.83999634,168.77000427,157.03999329
9,115.06999969,114.37999725,105.73000336,106.76999664,115.13999939,127.44000244,137.55000305,147.77000427,151.41000366,158.13999939,176.41000366,194.38999939,220.96000671,226.94000244,193.22999573,213.07000732,226.13000488,210.83999634,192.27000427,199.33999634,202.00999451,215.66000366,218.47999573,214.36000061,210.52000427,207.0,212.80000305,220.82000732,212.25,212.17999268,215.5,213.25,208.52000427,204.72999573,199.03999329,188.63000488,182.53999329,178.38999939,177.91000366,178.30000305,173.5,172.58999634,172.0,172.0,172.08999634,180.5,181.07000732,178.13000488,171.42999268,168.41000366,167.91000366,166.61000061,163.61000061,160.41000366,159.0,158.5,158.0,158.0,159.17999268,160.0,159.69999695,158.91000366,158.5,158.0,157.19999695,156.0,154.82000732,155.25,162.47999573,166.77000427,170.0,170.08999634,171.0,171.02000427,168.11000061,164.91000366,161.22999573,160.0,159.82000732,157.11000061,157.38999939,160.27000427,164.30000305,168.36999512,165.42999268,166.77000427,162.25,157.72999573,154.02000427,159.36999512,163.32000732,157.91000366,161.96000671,165.97999573,161.72999573,148.61000061,159.77000427,164.92999268,153.99000549,149.36999512,139.55999756,125.61000061,119.18000031,121.87000275,128.47999573,134.46000671,143.13999939,155.11999512,166.58999634,158.97000122,156.96000671,167.66000366,171.27000427,171.13000488,173.5,171.72999573,159.27000427
